Round Number,Date,Location,Home Team,Away Team,Result
29,02/03/2019 20:45,Goodison Park,Everton,Liverpool,
29,02/03/2019 20:45,Craven Cottage,Fulham,Chelsea,
29,02/03/2019 20:45,Old Trafford,Man Utd,Southampton,
29,02/03/2019 20:45,Tottenham Hotspur Stadium,Spurs,Arsenal,
29,02/03/2019 20:45,Vicarage Road,Watford,Leicester,
29,02/03/2019 20:45,London Stadium,West Ham,Newcastle,
29,02/03/2019 20:45,Molineux Stadium,Wolves,Cardiff,
30,09/03/2019 20:45,Emirates Stadium,Arsenal,Man Utd,
30,09/03/2019 20:45,Cardiff City Stadium,Cardiff,West Ham,
30,09/03/2019 20:45,Stamford Bridge,Chelsea,Wolves,
30,09/03/2019 20:45,Selhurst Park,Crystal Palace,Brighton,
30,09/03/2019 20:45,John Smith's Stadium,Huddersfield,Bournemouth,
30,09/03/2019 20:45,King Power Stadium,Leicester,Fulham,
30,09/03/2019 20:45,Anfield,Liverpool,Burnley,
30,09/03/2019 20:45,Etihad Stadium,Man City,Watford,
30,09/03/2019 20:45,St. James' Park,Newcastle,Everton,
30,09/03/2019 20:45,St. Mary's Stadium,Southampton,Spurs,
31,16/03/2019 20:45,Vitality Stadium,Bournemouth,Newcastle,
31,16/03/2019 20:45,Amex Stadium,Brighton,Cardiff,
31,16/03/2019 20:45,Turf Moor,Burnley,Leicester,
31,16/03/2019 20:45,Goodison Park,Everton,Chelsea,
31,16/03/2019 20:45,Craven Cottage,Fulham,Liverpool,
31,16/03/2019 20:45,Old Trafford,Man Utd,Man City,
31,16/03/2019 20:45,Tottenham Hotspur Stadium,Spurs,Crystal Palace,
31,16/03/2019 20:45,Vicarage Road,Watford,Southampton,
31,16/03/2019 20:45,London Stadium,West Ham,Huddersfield,
31,16/03/2019 20:45,Molineux Stadium,Wolves,Arsenal,
32,30/03/2019 20:45,Emirates Stadium,Arsenal,Newcastle,
32,30/03/2019 20:45,Amex Stadium,Brighton,Southampton,
32,30/03/2019 20:45,Turf Moor,Burnley,Wolves,
32,30/03/2019 20:45,Cardiff City Stadium,Cardiff,Chelsea,
32,30/03/2019 20:45,Selhurst Park,Crystal Palace,Huddersfield,
32,30/03/2019 20:45,Craven Cottage,Fulham,Man City,
32,30/03/2019 20:45,King Power Stadium,Leicester,Bournemouth,
32,30/03/2019 20:45,Anfield,Liverpool,Spurs,
32,30/03/2019 20:45,Old Trafford,Man Utd,Watford,
32,30/03/2019 20:45,London Stadium,West Ham,Everton,
33,06/04/2019 19:45,Vitality Stadium,Bournemouth,Burnley,
33,06/04/2019 19:45,Stamford Bridge,Chelsea,West Ham,
33,06/04/2019 19:45,Goodison Park,Everton,Arsenal,
33,06/04/2019 19:45,John Smith's Stadium,Huddersfield,Leicester,
33,06/04/2019 19:45,Etihad Stadium,Man City,Cardiff,
33,06/04/2019 19:45,St. James' Park,Newcastle,Crystal Palace,
33,06/04/2019 19:45,St. Mary's Stadium,Southampton,Liverpool,
33,06/04/2019 19:45,Tottenham Hotspur Stadium,Spurs,Brighton,
33,06/04/2019 19:45,Vicarage Road,Watford,Fulham,
33,06/04/2019 19:45,Molineux Stadium,Wolves,Man Utd,
34,13/04/2019 19:45,Amex Stadium,Brighton,Bournemouth,
34,13/04/2019 19:45,Turf Moor,Burnley,Cardiff,
34,13/04/2019 19:45,Selhurst Park,Crystal Palace,Man City,
34,13/04/2019 19:45,Craven Cottage,Fulham,Everton,
34,13/04/2019 19:45,King Power Stadium,Leicester,Newcastle,
34,13/04/2019 19:45,Anfield,Liverpool,Chelsea,
34,13/04/2019 19:45,Old Trafford,Man Utd,West Ham,
34,13/04/2019 19:45,St. Mary's Stadium,Southampton,Wolves,
34,13/04/2019 19:45,Tottenham Hotspur Stadium,Spurs,Huddersfield,
34,13/04/2019 19:45,Vicarage Road,Watford,Arsenal,
35,20/04/2019 19:45,Emirates Stadium,Arsenal,Crystal Palace,
35,20/04/2019 19:45,Vitality Stadium,Bournemouth,Fulham,
35,20/04/2019 19:45,Cardiff City Stadium,Cardiff,Liverpool,
35,20/04/2019 19:45,Stamford Bridge,Chelsea,Burnley,
35,20/04/2019 19:45,Goodison Park,Everton,Man Utd,
35,20/04/2019 19:45,John Smith's Stadium,Huddersfield,Watford,
35,20/04/2019 19:45,Etihad Stadium,Man City,Spurs,
35,20/04/2019 19:45,St. James' Park,Newcastle,Southampton,
35,20/04/2019 19:45,London Stadium,West Ham,Leicester,
35,20/04/2019 19:45,Molineux Stadium,Wolves,Brighton,
36,27/04/2019 19:45,Amex Stadium,Brighton,Newcastle,
36,27/04/2019 19:45,Turf Moor,Burnley,Man City,
36,27/04/2019 19:45,Selhurst Park,Crystal Palace,Everton,
36,27/04/2019 19:45,Craven Cottage,Fulham,Cardiff,
36,27/04/2019 19:45,King Power Stadium,Leicester,Arsenal,
36,27/04/2019 19:45,Anfield,Liverpool,Huddersfield,
36,27/04/2019 19:45,Old Trafford,Man Utd,Chelsea,
